NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
libro a libro;yes;a;libro;Insomma, un autore che sapeva descrivere senza errori da;libro a libro;la pianta della casa di Wolfe, i cibi che mangiava, le diecimila orchidee che coltivava, specie per specie, non aveva mai pensato a tenere uno schedario generale (biograficamente attendibile) dei suoi personaggi?;sg;PNPN;yes;distractor;_
24 su 24;no;su;24;Infatti la scommessa era quella dell' accompagnamento educativo, la presenza, la vicinanza;24 su 24;ore per tot mesi verso chi ne aveva bisogno.;X;NumPNum;no;distractor;_
pezzo a pezzo;no;a;pezzo;Taglienti come affilati bisturi, ci eravamo sezionate a vicenda,;pezzo a pezzo;.;sg;_;_;succession/iteration/distributivity;modifier
volta a volta;no;a;volta;Chiarite le tappe di questo itinerario, resta solo da comprendere,;volta a volta;, a quale di esse si trovi un'anima, quale stadio di sviluppo abbia raggiunto una comunità o un popolo, per partire da ciò che hanno compreso e condurli, secondo i tempi di crescita stabiliti da Dio, alla pienezza della conoscenza divina.;sg;_;_;succession/iteration/distributivity;modifier
parole su parole;no;su;parola;E i giochini, i disegnetti a bordo pagina che sono sicuro lei fa mentre aspetta che il cervello elabori e le detti;parole su parole;"; perché non stampa anche quei disegnetti scarabocchiati per ingannare la mano che vorrebbe scrivere qualcosa in maniera autonoma?";pl;_;_;greater_plurality/accumulation;nominal
guancia a guancia;no;a;guancia;Pensavo alla sua infanzia e alla sua adolescenza, ai divani ridotti a brandelli e ai materassi masticati, alle fantastiche passeggiate lungo l'Intracoastal e ai balli;guancia a guancia;con lo stereo a tutto volume.;sg;_;_;juxtaposition/contact;modifier
pezzo a pezzo;no;a;pezzo;La reazione degli studenti a quella che si presenta come una controriforma della scuola il cui senso principale è smontare;pezzo a pezzo;la riforma precedente è stata dapprincipio disordinata e scomposta, come si addice ai sedicenni.;sg;_;_;succession/iteration/distributivity;modifier
volta a volta;no;a;volta;Roberto non capiva se essa, per disattenzione,;volta a volta;gli attribuisse i detti e i fatti di un altro, oppure lo provocasse con civetteria.;sg;_;_;succession/iteration/distributivity;modifier
uomo a uomo;no;a;uomo;Possiamo avere una conversazione educata, da;uomo a uomo;, oppure devo farti strappare di bocca altre parole dai miei uomini?;sg;PNPN;yes;distractor;_
uomini su uomini;no;su;uomo;Perché ogni governo è di;uomini su uomini;.;pl;thematic_target;no;distractor;_
gomito a gomito;no;a;gomito;Era la prima volta che mi trovavo;gomito a gomito;con qualcosa o qualcuno di nobile stirpe, la mia famiglia inclusa.;sg;_;_;juxtaposition/contact;modifier
tasse su tasse;yes;su;tassa;Dopo un anno, disoccupazione alle stelle,;tasse su tasse;, pensioni in pericolo, criminalità impunita e spavalda, città nelle mani di spacciatori e violenti, il futuro è visto da molti incerto e drammatico.;pl;_;_;greater_plurality/accumulation;nominal
gomito a gomito;no;a;gomito;Emiliano è un pm di prima linea: è stato in Sicilia dove ha lavorato;gomito a gomito;"con Rosario Livatino, il giovane magistrato ucciso dalla mafia; poi a Brindisi dove con una serie di inchieste ha decapitato la mafia pugliese, la Sacra Corona Unita.";sg;_;_;juxtaposition/contact;modifier
Google su Google;no;su;Google;Come cancellare la cronologia di;Google su Google;Chrome.;X;proper_name_inglobation;no;distractor;_
punto su punto;no;su;punto;La strategia 5Stelle - contrastare;punto su punto;Salvini colpendolo anche sui temi a lui più cari, come sicurezza e immigrazione - sembra aver avuto qualche effetto.;sg;_;_;succession/iteration/distributivity;modifier
volta a volta;no;a;volta;Una ulteriore complicazione dello schema risulterebbe se considerassimo come i destinatari grammaticali delle ottave dei poeti possano essere;volta a volta;, e anche nella medesima ottava, il proprio antagonista o il pubblico medesimo.;sg;_;_;succession/iteration/distributivity;modifier
volta a volta;no;a;volta;Nelle regole probatorie legali, infatti si riscontra un fondamento che può essere sia epistemologico che politico,;volta a volta;"prevalendo l'esigenza di determinare esplicitamente un metodo per ""guidare il giudice alla ricerca"" (art. 103 197 c. p. p.).";sg;_;_;succession/iteration/distributivity;modifier
scienziato a scienziato;no;a;scienziato;L'interpretazione di una teoria, diversa da;scienziato a scienziato;, ha però costituito in molti casi lo spunto per nuove scoperte.;sg;PNPN;yes;distractor;_
61 su 61;yes;su;61;Certo le ultime elezioni europee hanno segnato una sconfitta di Berlusconi, il cappotto del;61 su 61;(i seggi del parlamento regionale conquistati dalla destra nelle ultime amministrative) appartiene alla memoria del passato.;X;NumPNum;no;distractor;_
rovescio su rovescio;yes;su;rovescio;Sul sei pari abbiamo uno scambio assassino,;rovescio su rovescio;, e io sono un fascio di nervi scossi.;sg;_;_;succession/iteration/distributivity;modifier
palo a palo;yes;a;palo;Adesso l'uomo scendeva dal palo in terra, saliva da terra al palo, passava da;palo a palo;, dal palo raggiungeva l'orizzonte per poi tornare indietro: stava rendendo completamente assurdo l'universo spaziale di Arthur.;sg;PNPN;yes;distractor;_
estati su estati;yes;su;estate;E le travi non arrugginiscono in pochi giorni, ma in inverni e inverni di gelo e silenzio e in;estati su estati;di assalti dell'erba.;pl;_;_;greater_plurality/accumulation;nominal
pietra su pietra;yes;su;pietra;"È necessario fare chiarezza su tali aporie (si ricordi il senso della ‘spiegazione’ in Kant!) ; la filosofia non procede cumulativamente, ‘";pietra su pietra;, né può pensare di porre ordine nel linguaggio che effettivamente parliamo ricorrendo al ‘modello’ di ideografie, valide soltanto nell’ambito di procedure logico-matematiche.;sg;_;_;succession/iteration/distributivity;modifier
gomito a gomito;no;a;gomito;Alla Pisacane studiano 87 bambini stranieri su cento, e la percentuale è in crescita: bengalesi, cinesi, romeni, polacchi, colombiani, filippini, algerini, egiziani e italiani imparano;gomito a gomito;«a leggere e scrivere in stampatello e corsivo», e «eseguono le addizioni con 3 numeri», giura un gruppo di genitori in un appello ad altri italiani a iscrivere i loro figli nonostante le continue polemiche.;sg;_;_;juxtaposition/contact;modifier
pacchi su pacchi;yes;su;pacco;Ci mettemmo una cosa come mezz'ora, facendo avanti e indietro tra la strada e la cucina –;pacchi su pacchi;su pacchi – e quando il tizio con il berretto, sfinito, risalì sul suo furgone e sparì, dalla cucina li portammo in taverna – pacchi su pacchi su pacchi.;pl;_;_;greater_plurality/accumulation;nominal
gomito a gomito;no;a;gomito;Per prima cosa ottenne un sostanzioso prestito grazieall'appoggio e alla fiducia di banchieri legati all'agente commerciale di suo padre, poi mandò i commandeurs ai canneti, a lavorare;gomito a gomito;con gli stessi uomini che prima avevano martirizzato e li rimpiazzò con altri meno depravati, ridusse i castighi e assunse un veterinario, che trascorse due mesi a Saint - Lazare cercando di restituire un po 'di salute ai neri.;sg;_;_;juxtaposition/contact;modifier
pezzo a pezzo;no;a;pezzo;Salviamola, finché siamo ancora in tempo, dai barbari che l'hanno invasa e spolpata;pezzo a pezzo;.;sg;_;_;succession/iteration/distributivity;modifier
Apple su Apple;yes;su;Apple;Anche Noi di Zoleounge.it stiamo promuovendo il Back Friday di Apple e se siete in procinto di acquistare con gli sconti del BlackFriday 2010 di;Apple su Apple;Italia, iTunes Store o su App Store e volete aiutare Zoelounge.it senza peraltro spendere una lira in più, potreste prendere in considerazione l'idea di cliccare su uno dei banner presenti in questa pagina o nei banner presenti nella sidebar.;X;proper_name_inglobation;no;distractor;_
100 su 100;yes;su;100;Anni dopo Bernardini ripropone lo stesso quesito in una scuola elementare, e;100 su 100;"rispondono: "" 50 anni """;X;NumPNum;no;distractor;_
permessi su permessi;no;su;permesso;Chi dieci anni fa, a casa sua, ha piantato un filare di platani troppo vicini, non li può diradare senza;permessi su permessi;.;pl;_;_;greater_plurality/accumulation;nominal
morti su morti;no;su;morto;Dalla morte di Montanino comincia un lungo e sanguinoso botta e risposta, con;morti su morti;: uno, due agguati al giorno, prima i gregari dei due clan, poi i parenti, l'incendio delle case, i pestaggi, i sospetti.;pl;_;_;greater_plurality/accumulation;nominal
gomito a gomito;no;a;gomito;Non esistono infine uffici: gli impiegati e le segretarie operano;gomito a gomito;"in ""open space"".";sg;_;_;juxtaposition/contact;modifier
posizioni su posizioni;yes;su;posizione;A quel punto la decisione vincente: si strappa la visiera e incomincia a risalire;posizioni su posizioni;.;pl;_;_;greater_plurality/accumulation;nominal
saponi su saponi;no;su;sapone;Mi lavo e mi rilavo, svaniscono;saponi su saponi;, asciugamani e salviette si impregnano d'acqua.;pl;_;_;greater_plurality/accumulation;nominal
bocca a bocca;no;a;bocca;Per non far cadere il sugo prendendolo con le dita, glielo passò da;bocca a bocca;.;sg;PNPN;yes;distractor;_
vigneti su vigneti;no;su;vigneto;"Vagoni arrugginiti dove giovani senza senso lirico hanno spruzzato graffiti di cui, ahimè, non so cogliere il significato;";vigneti su vigneti;", sotto un velo di nebbia setosa come cipria; vecchi in bicicletta, altri che portano a spasso i cani.";pl;_;_;greater_plurality/accumulation;nominal
guancia a guancia;no;a;guancia;La tromba è guerresca, angelica, apocalittica, vittoriosa, suona la carica, il sassofono fa ballare bulletti di periferia coi capelli unti di brillantina,;guancia a guancia;con ragazze sudate.;sg;_;_;juxtaposition/contact;modifier
pagine su pagine;yes;su;pagina;Perché c'è chi riesce a fartelo drizzare, chi riesce a farti ridere, chi a farti passare la notte divorando;pagine su pagine;per capire chi era l'agente segreto che cagava rubini, chi riesce a farti venire appetito e a farti tornare a Bangkok quando invece sei a casa tua, ad ognuno la sua specialità.;pl;_;_;greater_plurality/accumulation;nominal
egemonia ad egemonia;no;a;egemonia;Perché l'Ulivo ha avuto l'abilità - se possiamo considerarla un'abilità - di aggiungere;egemonia ad egemonia;.;sg;verbal;yes;distractor;_
tensione a tensione;no;a;tensione;lo so che ti potrebbe montare l'ansia, però se prosegui così, purtroppo, aggiungi;tensione a tensione;, ansia, sua ansia.;sg;verbal;yes;distractor;_
gaffes su gaffes;yes;su;gaffes;Inoltre Greg, autentico Fantozzi, ne combina di tutti i colori, inanella;gaffes su gaffes;.;pl;_;_;greater_plurality/accumulation;nominal
uomini su uomini;no;su;uomo;Dall'inizio degli anni Novanta è diminuito il numero di omicidi di;uomini su uomini;"mentre il numero di donne uccise da uomini è aumentato: l'intensità e il grado di diffusione di episodi di violenza e abuso nei confronti delle donne sono tali da aver suggerito il conio del termine ""femminicidio"".";pl;thematic_target;no;distractor;_
goccia a goccia ;no;a;goccia;Più che un ritorno al passato, dunque, occorrerebbero interventi tecnologici adatti a un pianeta globale: ad esempio stimolando investimenti in efficienza attraverso l'irrigazione a;goccia a goccia;in agricoltura, tecnologia che evita sprechi, o il riutilizzo delle acque reflue nell'industria.;sg;PNPN;yes;distractor;_
uomo a uomo;no;a;uomo;Oppure senza i sì e i no della figura paterna: finiti i gesti di sostegno virile, i lanci in aria per gioco, le spiegazioni da;uomo a uomo;, il conforto dopo gli insuccessi.;sg;PNPN;yes;distractor;_
uomo a uomo;no;a;uomo;Poi smise di correre e mi salutò da;uomo a uomo;.;sg;PNPN;yes;distractor;_
pezzo a pezzo;no;a;pezzo;E questa non dovrebbe essere la terra sulla quale volendo, volendo e stravolendo tutto si può fare, allora vada a inseguirsi in cielo, volenterosamente vada a ricomporsi;pezzo a pezzo;.;sg;_;_;succession/iteration/distributivity;modifier
volta a volta;no;a;volta;In fondo, la crisi dell'università è il prodotto di due silenzi: uno è quello,;volta a volta;connivente, frustrato, desensibilizzato, del mondo accademico stesso, che vede e soffre le pecche del sistema e dei comportamenti, ma non sa uscirne con proposte generali e comportamenti adeguati.;sg;_;_;succession/iteration/distributivity;modifier
strato su strato;yes;su;strato;Nel ventre dell'acropoli, una collina compresa fra via Santa Maria in Costantinopoli, via Foria e via Tribunali, le epoche si sono sistemate;strato su strato;, dalle mura greche che risalgono alla fondazione nel V secolo avanti Cristo, fino agli edifici ottocenteschi.;sg;_;_;succession/iteration/distributivity;modifier
monologo su monologo;yes;su;monologo;Non si fa che procedere per accumulo:;monologo su monologo;.;sg;_;_;succession/iteration/distributivity;modifier
comunicazioni su comunicazioni;yes;su;comunicazione;La capacità di significare tramite icone implica anche che tutti i processi di comunicazione siano di secondo livello, ovvero;comunicazioni su comunicazioni;, spesso lontane dalla vita quotidiana.;pl;_;_;greater_plurality/accumulation;nominal
simmetria su simmetria;yes;su;simmetria;Occhi, seni, ombre e luci sulle anche,;simmetria su simmetria;... il suo respiro che si faceva corto.;sg;_;_;succession/iteration/distributivity;modifier
uomo su uomo;no;su;uomo;"Il problema del potere si ripresenta qui; il potere d'";uomo su uomo;.;sg;thematic_target;no;distractor;_
volta a volta;no;a;volta;Durante più di due secoli essa fu;volta a volta;sotto il dominio dei Visconti, signori di Milano, sotto l'influenza del governo della Chiesa Romana, ebbe governi repubblicani, fu governata dalle più importanti famiglie cittadine in lotta tra loro per ottenere la supremazia.;sg;_;_;succession/iteration/distributivity;modifier
goccia a goccia ;no;a;goccia;il chiarore del giorno penetra a;goccia a goccia;nel mio cervello.;sg;PNPN;yes;distractor;_
schiere su schiere;yes;su;schiera;Dietro di lui, al buio, stavano invadendo il palcoscenico;schiere su schiere;di ombre, assistite dai roadie che mostravano loro dove mettere i piedi alla luce di minuscole torce.;pl;_;_;greater_plurality/accumulation;nominal
curve su curve;yes;su;curva;All'altezza della rocca di Posada si penetra nell'interno proseguendo sulla statale 389:;curve su curve;dove è possibile non incrociare altre macchine.;pl;_;_;greater_plurality/accumulation;nominal
record su record;yes;su;record;Ritengo che, dopo essere salita in modo fulmineo macinando;record su record;, la Borsa Usa abbia bisogno di una ripulita dagli eccessi speculativi.;sg/pl;_;_;greater_plurality/accumulation;nominal
record su record;yes;su;record;La ragione è semplice: le principali Borse mondiali (salvo Tokio) macinano;record su record;, la capitalizzazione dei grandi gruppi quotati si espande oltre ogni previsione, i ritorni sull'investimento per chi ha puntato su di loro un anno fa battono tutte le alternative.;sg/pl;_;_;greater_plurality/accumulation;nominal
61 su 61;yes;su;61;L'ha data già il caso Fiat, bisogna insistere per eliminare anche la mafia, artefice del successo del polo con i;61 su 61;.;X;NumPNum;no;distractor;_
parola su parola;no;su;parola;"E poi, ""Il cambio della guardia a Whitehall..."" che era romantico; e poi, costruendo";parola su parola;", lesse: ""I soldati della cavalleria le dissero che il cavallo aveva la coda verde; ma per lei era un cavallo qualsiasi"".";sg;_;_;succession/iteration/distributivity;modifier
gomito a gomito;no;a;gomito;A metà della scala si potrebbero porre invece quelle che mostrano artisti e scienziati lavorare;gomito a gomito;, producendo conoscenze o rappresentazioni reciprocamente utili, come accadeva per esempio agli incisori che si affiancarono ad anatomisti e astronomi da cui dipendono le due grandi rivoluzioni scientifiche della modernità.;sg;_;_;juxtaposition/contact;modifier
uomo a uomo;no;a;uomo;Che fecero conoscenza con Fritz Schependonk, il vicino, il quale li prese per una coppia clandestina e confidò a Jan, da;uomo a uomo;", che mirava a una bionda diciottenne; lui, Jan, pensava che poteva sperarci?";sg;PNPN;yes;distractor;_
uomo a uomo;no;a;uomo;Faustino Rivera aveva guardato il suo superiore e ne aveva intuito il pensiero, perché in certe notti di guardia avevano potuto parlare da;uomo a uomo;, scavalcando le gerarchie per analizzare le cause del sollevamento militare e delle sue conseguenze.;sg;PNPN;yes;distractor;_
gomito a gomito;no;a;gomito;E non è possibile metterli;gomito a gomito;con le donne gomito a gomito, al lavandino, in un gabinetto.;sg;_;_;juxtaposition/contact;modifier
pietra su pietra;yes;su;pietra;Secondo Rauber, l'organismo vivente non è costruito come un edificio, aggiungendo;pietra su pietra;in modo ordinato.;sg;_;_;greater_plurality/accumulation;nominal
euro su euro;no;su;euro;Sposando Luigi, avrebbe lavorato per tutta la vita negli uffici della Coop, risparmiando;euro su euro;per arrivare alla fine del mese.;sg/pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;Saphira era meglio equipaggiata dei Lethrblaka per il combattimento;corpo a corpo;, grazie alle squame - più dure e resistenti della loro pellaccia grigia - e ai denti - di gran lunga più letali del loro becco in uno scontro ravvicinato - ma in quella situazione, con il basso soffitto della caverna che le dava scarsa libertà di manovra per saltare o volare, aveva non poche difficoltà a tenere testa a due creature che l'attaccavano contemporaneamente.;sg;_;_;juxtaposition/contact;modifier
uomo a uomo;no;a;uomo;Ci siamo stretti con forza, nell'abbraccio da;uomo a uomo;che avevamo codificato la prima volta quando era venuto a prendermi al residence sulla collina.;sg;PNPN;yes;distractor;_
sinistra a sinistra;no;a;sinistra;Gli otto referendum - che potevano essere un primo banco di prova per l'unità della;sinistra a sinistra;dal Pd - sono stati in realtà motivi di discussione, e di divisione: «Siamo più divisi di prima», ha detto proprio all'Espresso Civati, intervistato a pochi giorni dalla chiusura della campagna.;sg;N_extended;no;distractor;_
39 su 39;yes;su;39;Essi hanno scoperto che Red Book è stato in grado di fornire con successo le risposte a;39 su 39;richieste su problemi clinici, con una media di 10 secondi per ricerca.;X;NumPNum;no;distractor;_
volta a volta;no;a;volta;Un agente di cambio, un venditore, una segretaria, un dirigente delle ferrovie, un professore universitario, un direttore d'albergo, devono;volta a volta;offrire un tipo di personalità diverso che, indipendentemente dalle differenze tra l'una e l'altra, deve rispondere sempre a una condizione: essere richiesto.;sg;_;_;succession/iteration/distributivity;modifier
volta a volta;no;a;volta;"Presentati in tavola questi piatti, ""tutte le conversazioni cessarono per la pienezza dei cuori...; e quando i piatti di servizio erano passati, vidi succedersi";volta a volta;"su tutte le fisionomie il fuoco del desiderio, l'estasi della gioia, il riposo perfetto della beatitudine"".";sg;_;_;succession/iteration/distributivity;modifier
uomo a uomo;no;a;uomo;"Questa trasformazione, ipotizzano gli studiosi, ""potrebbe essere dovuta a variazioni o nelle capacità del virus di trasmettersi da";uomo a uomo;", o nelle caratteristiche della popolazione prevalentemente infettata"".";sg;PNPN;yes;distractor;_
punto su punto;no;su;punto;Il capo degli anestesisti, Giuseppe Sala, ha respinto;punto su punto;ogni accusa nel faccia a faccia più lungo della giornata.;sg;_;_;succession/iteration/distributivity;modifier
corpo a corpo;yes;a;corpo;Essi o lo impegnavano in violenti combattimenti;corpo a corpo;, oppure rimanevano ritti immobili e silenziosi in qualche angolo della casa.;sg;_;_;juxtaposition/contact;modifier
strato su strato;yes;su;strato;La storia poco nota di questa parte di Roma è di straordinario interesse e basterebbe quasi, da sola, a illustrare attraverso quali peripezie militari e religiose si sia venuta formando,;strato su strato;, la città attuale.;sg;_;_;succession/iteration/distributivity;modifier
punto su punto;no;su;punto;Incalzato dai rappresentanti di Uds (Unione degli studenti) e Ras (Rete autogestita studentesca), il ministro ha ribattuto;punto su punto;.;sg;_;_;succession/iteration/distributivity;modifier
sole a sole;yes;a;sole;Passavamo i giorni e i mesi marciando nelle selve da;sole a sole;, mentre nella capanna la polenta rapprendeva, il latte cagliava, il formaggio stagionava.;sg;PNPN;yes;distractor;_
uomo a uomo;no;a;uomo;Queste forme di sapere «tecnico» vengono tramandate da;uomo a uomo;, da adulto a giovane, e fanno parte degli insegnamenti che i ragazzi ricevono nella «casa degli uomini».;sg;PNPN;yes;distractor;_
pezzo a pezzo;no;a;pezzo;Quello ottocentesco, in granito scuro, è stato smontato;pezzo a pezzo;e rivenduto agli americani nel 1968, i quali l'hanno rimesso in piedi nel deserto dell'Arizona.;sg;_;_;succession/iteration/distributivity;modifier
punto su punto;no;su;punto;Il governatore Roberto Formigoni sembra chiamarsi fuori: «L'assessore Ponzoni mi ha preannunciato una sua ampia dichiarazione che sarà dimostrazione;punto su punto;di quanto sia estraneo ai fatti».;sg;_;_;succession/iteration/distributivity;modifier
fogli su fogli;no;su;foglio;Dopo una giornata trascorsa in giro con me, riempie;fogli su fogli;.;pl;_;_;greater_plurality/accumulation;nominal
parola su parola;no;su;parola;Per fortuna, conosceva la lingua così bene che capì ogni cosa, e si potette difendere,;parola su parola;, accusa su accusa, prova su prova, senza perdersi d'animo.;sg;_;_;succession/iteration/distributivity;modifier
grado a grado;no;a;grado;Si infila nelle case e, con quella storia che la malattia si guarisce a;grado a grado;, ci mangia a sbafo per un bel po' e non se ne va finché non gli danno qualcosa da portarsi via.;sg;PNPN;yes;distractor;_
anima ad anima;no;a;anima;Ecco, devono essere nati così questi ultimi due romanzi di famiglia, seguiti da lunghe ore al computer, uno accanto all'altro, gomito a gomito,;anima ad anima;, ogni tanto un sospiro, una lunga occhiata, qualche sorriso di tenerezza perché i due si adorano e si cercano come solo due innamoratini sanno fare, al di là delle loro abbondanti sessanta primavere. ;sg;_;_;juxtaposition/contact;modifier
grado a grado;no;a;grado;Fu scritto in un'epoca d'infermità e di vanità intellettuale, quando io allettato dalle mollezze dell'ozio andavo perdendo a;grado a grado;tutte le forze accumulate in parecchi anni di studio e non curante volgevo le spalle ai saggi amici che venivano a gridarmi: - o rinnovarsi, o morire!;sg;PNPN;yes;distractor;_
uomini su uomini;no;su;uomo;Quindi, anche nel fumetto Bonelli, come in Berserk, ci sono scene di violenza sessuale verso i protagonisti minorenni, o di violenza sessuale di;uomini su uomini;"(le ho elencate entrambe perchè non sapevo cosa consideravi più ""forte"" nella scena di Berserk).";pl;thematic_target;no;distractor;_
case su case;yes;su;casa;A destra c'è il mare, a sinistra;case su case;, fino a pochi secondi prima di toccare.;pl;_;_;greater_plurality/accumulation;nominal
file su file;no;su;file;E d'improvviso ci sembrò di vedere;file su file;di formiche del miele col corpo striato e luccicante, che nelle loro celle sotto le radici del mulga traboccavano di nettare.;pl;_;_;greater_plurality/accumulation;nominal
bicchiere su bicchiere;no;su;bicchiere;Poco sveglio da giovane, invecchiando aveva peggiorato e al calare del sole il vino che s'era bevuto durante il giorno, sommandosi;bicchiere su bicchiere;, lo riduceva ad appisolarsi accantoal fuoco d'inverno o sotto l'albero del cortile al tempo della buona stagione.;sg;_;_;succession/iteration/distributivity;modifier
layer su layer;no;su;layer;Detriti, come li chiama Napier, che sono visibili per strati,;layer su layer;, quasi si trattasse dei livelli che gli archeologi usano durante le operazioni di scavo.;sg;_;_;succession/iteration/distributivity;modifier
Roma su Roma;yes;su;Roma;E se io mando un messaggio da;Roma su Roma;dovrei essere tutelato dalle leggi italiane, rispetto alle intenzioni piratesche delle aziende Usa.;X;thematic_target;no;distractor;_
assalti su assalti;no;su;assalto;e impugnava lo stendardo rosso con la stella argeade a sedici punte , lanciava  assalti su assalti , ma gli squadroni dei cavalieri arabi e assiri contrattaccavano ogni volta con;assalti su assalti;, ma gli squadroni dei cavalieri arabi e assiri contrattaccavano ogni volta con caparbio valore, sostenuti dai continui, fitti lanci di frecce degli arcieri medi e armeni.;pl;_;_;greater_plurality/accumulation;nominal
dinamitardo a dinamitardo;yes;a;dinamitardo;Come se un testimone fosse passato di mano da;dinamitardo a dinamitardo;, nella penisola arabica una banda è riuscita nella non difficile impresa fallita in Gran Bretagna, ammazzare indifesi con il tritolo.;sg;PNPN;yes;distractor;_
problemi a problemi;yes;a;problemi;Non poteva però, in quelle condizioni, aggiungere;problemi a problemi;.;sg;verbal;yes;distractor;_
uomini su uomini;no;su;uomo;"Lo stato è così dunque ""un rapporto di potere di";uomini su uomini;", fondato sul mezzo dell'uso della forza legittima"" (si veda ""Economia e Società"", Milano 1961).";pl;thematic_target;no;distractor;_
uomo su uomo;no;su;uomo;cioè quando si abolirà non solo il concetto di proprieta' di uomo su uomo (schiavitu') ma anche quello di SERVITU' di;uomo su uomo;(noleggio, prostituzione, o come chiamo io, SERVIZIONE).;sg;thematic_target;no;distractor;_
grado a grado;no;a;grado;Però ricordatevi che questa malattia non si guarisce subito, ma a;grado a grado;.;sg;PNPN;yes;distractor;_
volta a volta;no;a;volta;I contributi alla comune cultura europea possono essere;volta a volta;preziosissimi come nel caso della libreria di Jim Stirling nei giardini della Biennale di Venezia o invece di una disarmante superficialità come nelcaso del progetto vincitore della nuova uscita del museo degli Uffizi a Firenze.;sg;_;_;succession/iteration/distributivity;modifier
gomito a gomito;no;a;gomito;Intorno al tavolo non c'erano abbastanza sedie per tutti e così Kenneth dovette stare;gomito a gomito;con Shirley, cosa che invero pareva non dispiacergli affatto.;sg;_;_;juxtaposition/contact;modifier
strato su strato;yes;su;strato;Ad un certo punto incontrarono una fontana ghiacciata che,;strato su strato;", aveva formato una specie di scultura che sembrava la sagoma di un animale; ma a dire il vero bastava girarsi intorno per riconoscere nel paesaggio mille immagini diverse disegnate dalla galaverna.";sg;_;_;succession/iteration/distributivity;modifier
pustola a pustola;no;a;pustola;Sembrerà assurdo ma il movimento anti-vaccinista è nato ancor prima della vaccinazione, durante la variolazione, ovvero il passaggio del vaiolo da;pustola a pustola;, da braccio a braccio, che, tuttavia, presentava un tasso di mortalità piuttosto alto (intorno al 6-7%), che ha creato il rifiuto di questo tipo di terapia.;sg;PNPN;yes;distractor;_
corpo a corpo;yes;a;corpo;Non era il momento adatto a considerazioni tattiche, la colluttazione era diventata un furioso combattimento;corpo a corpo;.;sg;_;_;juxtaposition/contact;modifier
ragazzo a ragazzo;yes;a;ragazzo;In Danimarca, un insegnante ha iniziato una forma di aiuto da;ragazzo a ragazzo;.;sg;PNPN;yes;distractor;_
uomo su uomo;no;su;uomo;cioè quando si abolirà non solo il concetto di proprieta' di;uomo su uomo;(schiavitu') ma anche quello di SERVITU' di uomo su uomo (noleggio, prostituzione, o come chiamo io, SERVIZIONE).;sg;thematic_target;no;distractor;_
soldi su soldi;no;su;soldi;Insomma c'è ancora tempo, e spazio, per fare soldi su;soldi su soldi;vendendo e spedendo in tutto il mondo i vecchi libri di carta: tanto più se fatti in casa.;pl;_;_;greater_plurality/accumulation;nominal
generazioni su generazioni;yes;su;generazione;Quantoa me, i giovani li conosco bene: a scuola ne ho avuto;generazioni su generazioni;, in casa ho avuto i miei figli.;pl;_;_;greater_plurality/accumulation;nominal
proprietà a proprietà;yes;a;proprietà;Se passerà l'operazione Integritas-Palermo, valutata nell'ordine di 200 milioni di euro, è prevedibile una moltiplicazione di transazioni dalle vecchie;proprietà a proprietà;sempre meno trasparenti.;sg;N_extended;no;distractor;_
nodi su nodi;no;su;nodo;Sembra vedere e sentire il ritmo di questa fatica: trovare lo strappo, ridurlo, intrecciare;nodi su nodi;, riparare finalmente la rete.;pl;_;_;greater_plurality/accumulation;nominal
pezzo a pezzo;no;a;pezzo;A questo punto, dice Picierno, «poiché, come è nello spirito della Convenizone di Istanbul, la piena uguaglianza è la chiave per prevenire la violenza, bisogna agire;pezzo a pezzo;: ad esempio adesso concentrarsi per conquistare la sulla parità salariale, che in Europa ha tutt'ora un dislivello del 16 per cento tra uomini e donne».;sg;_;_;succession/iteration/distributivity;modifier
11 su 11;no;su;11;Da ricordare la prestazione contro il Belgio allorchè ne ha effettuate;11 su 11;tiri nello specchio della porta degli avversari.;X;NumPNum;no;distractor;_
grado a grado;no;a;grado;Quando gli uomini muoiono di morte naturale, allorché l'albero dell'umanità si spoglia a;grado a grado;di quanto è pallido e appassito, l'ampia superficie del Silenzio, nel quale annega per sempre chi ha finito di parlare e reggersi in piedi, non s'increspa minimamente, qualunque sia il numero di coloro che la tagliano col capo all'ingiù per raggiungere il lontanissimo fondo.;sg;PNPN;yes;distractor;_
volta a volta;no;a;volta;E sul ritardo contano i dottrinari tedeschi per giudicarle poi inutili (dopo aver;volta a volta;tentato di dimostrarle pericolose o illegali).;sg;_;_;succession/iteration/distributivity;modifier
punto su punto;no;su;punto;Giusto così, i titoli si costruiscono alla Niki Lauda,;punto su punto;azzardando il meno possibile.;sg;_;_;succession/iteration/distributivity;modifier
corpo a corpo;yes;a;corpo;Qualche scettico si domanderà come mai il comando americano mandi un preziosissimo marconista navajo a combattere;corpo a corpo;contro il nemico, con il rischio che lo catturino.;sg;_;_;juxtaposition/contact;modifier
corpo a corpo;yes;a;corpo;I colpi sono stati sparati durante la lotta,;corpo a corpo;.;sg;_;_;juxtaposition/contact;modifier
